Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,32.3285122,32.77743902,33.21990244,33.65787805,34.09287805,34.52539024,34.95741463,35.38941463,35.82241463,36.26039024,36.70282927,37.1527561,37.61014634,38.07853659,38.56090244,39.05929268,39.57570732,40.11014634,40.66760976,41.25058537,41.86753659,42.52692683,43.23073171,43.97592683,44.75902439,45.57702439,46.42695122,47.29634146,48.16973171,49.03112195,49.86104878,50.64097561,51.36292683,52.02187805,52.61434146,53.13939024,53.60204878,54.01782927,54.40273171,54.76726829,55.12587805,55.48753659,55.85719512,56.23529268,56.62631707,57.0272439,57.43256098,57.83382927,58.22502439,58.60368293,58.97082927,59.32795122,59.67960976,60.02826829,60.37446341,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,62.25436585,63.27346341,64.16285366,64.88709756,65.43819512,65.82739024,66.08931707,66.28721951,66.47495122,66.68160976,66.93258537,67.23887805,67.58595122,67.95795122,68.34834146,68.74121951,69.1155122,69.45617073,69.7542439,70.00965854,70.23597561,70.45446341,70.68512195,70.93739024,71.20653659,71.47121951,71.69756098,71.86195122,71.95329268,71.97858537,71.95731707,71.91841463,71.90080488,71.93585366,72.04195122,72.23602439,72.52741463,72.89809756,73.32658537,73.79339024,74.27153659,74.73256098,75.15460976,75.52329268,75.83121951,76.08160976,76.28612195,76.47029268,76.65207317,76.84036585,77.03695122,77.24058537,77.44397561,77.64046341,77.83046341,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,46.13512195,46.59031707,47.045,47.49619512,47.94190244,48.37609756,48.79080488,49.1875122,49.57270732,49.95590244,50.34363415,50.74392683,51.17180488,51.64570732,52.18807317,52.8362439,53.6305122,54.57826829,55.66753659,56.87487805,58.16402439,59.4867561,60.78634146,62.00895122,63.11712195,64.0737561,64.85719512,65.48714634,65.98943902,66.38204878,66.69458537,66.95873171,67.20968293,67.4754878,67.77553659,68.12107317,68.50921951,68.92121951,69.34095122,69.76292683,70.18390244,70.6017561,71.01485366,71.421,71.81626829,72.19656098,72.55770732,72.89836585,73.21931707,73.52102439,73.80404878,74.07,74.32409756,74.56895122,74.80809756,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,32.98482927,33.38621951,33.78758537,34.18846341,34.59034146,34.99221951,35.39509756,35.79997561,36.20585366,36.6102439,37.01512195,37.42102439,37.82692683,38.22682927,38.61378049,38.97580488,39.301,39.58136585,39.81585366,40.00539024,40.1592439,40.28865854,40.408,40.5282439,40.65395122,40.77778049,40.8874878,40.97387805,41.03770732,41.08765854,41.13834146,41.20634146,41.31302439,41.47819512,41.7162439,42.05146341,42.50163415,43.06212195,43.71426829,44.439,45.20478049,45.97314634,46.71173171,47.39317073,48.0035122,48.53880488,49.00704878,49.43573171,49.84739024,50.25102439,50.65417073,51.05931707,51.464,51.86617073,52.26687805,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,61.78273171,62.19541463,62.59853659,62.99258537,63.37858537,63.75607317,64.12556098,64.48807317,64.84212195,65.18919512,65.52934146,65.86202439,66.18826829,66.508,66.82178049,67.13007317,67.43339024,67.7307561,68.02263415,68.30953659,68.59197561,68.86895122,69.14092683,69.40792683,69.67046341,69.9285122,70.18256098,70.43263415,70.67973171,70.92282927,71.16295122,71.40058537,71.63470732,71.86585366,72.093,72.31768293,72.53885366,72.75756098,72.97378049,73.18602439,73.39729268,73.60709756,73.81543902,74.02178049,74.22614634,74.42543902,74.61814634,74.80321951,74.97917073,75.14702439,75.30878049,75.46602439,75.62180488,75.77865854,75.93763415,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,65.21553659,65.3385122,65.43260976,65.50939024,65.58241463,65.66868293,65.7822439,65.93002439,66.1134878,66.33509756,66.59082927,66.87312195,67.16795122,67.46531707,67.75865854,68.04795122,68.33670732,68.62943902,68.92663415,69.22431707,69.5144878,69.78665854,70.03531707,70.257,70.45419512,70.63139024,70.79907317,70.9677561,71.14590244,71.33753659,71.54365854,71.76329268,71.98895122,72.21565854,72.44139024,72.66512195,72.88734146,73.10804878,73.32768293,73.54426829,73.75580488,73.96031707,74.15578049,74.34126829,74.51878049,74.68780488,74.84990244,75.00904878,75.16626829,75.32456098,75.48497561,75.64904878,75.8162439,75.98609756,76.15860976,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,65.86346341,66.28439024,66.70985366,67.13785366,67.56541463,67.99153659,68.41473171,68.8304878,69.22926829,69.60004878,69.92426829,70.18287805,70.36734146,70.47965854,70.52634146,70.53192683,70.52941463,70.54290244,70.58297561,70.64126829,70.68453659,70.66160976,70.5355122,70.29014634,69.93568293,69.5,69.02429268,68.56756098,68.18209756,67.8995122,67.74780488,67.73829268,67.85334146,68.06956098,68.37665854,68.76356098,69.21685366,69.71641463,70.24021951,70.76709756,71.27658537,71.75582927,72.20160976,72.60958537,72.9737561,73.28739024,73.54826829,73.76465854,73.945,74.09582927,74.22634146,74.34282927,74.45209756,74.56136585,74.67570732,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,65.56936585,65.98802439,66.36553659,66.71397561,67.04429268,67.3697561,67.699,68.03468293,68.37714634,68.72841463,69.08614634,69.44609756,69.79865854,70.13965854,70.46529268,70.77780488,71.08082927,71.37770732,71.66978049,71.95285366,72.22014634,72.46234146,72.67319512,72.84902439,72.9897561,73.09797561,73.17936585,73.24270732,73.2962439,73.3444878,73.38997561,73.43312195,73.4717561,73.50531707,73.5357561,73.56360976,73.58943902,73.61480488,73.64229268,73.67539024,73.72060976,73.78290244,73.8652439,73.96856098,74.09085366,74.22807317,74.37619512,74.5267561,74.67573171,74.81814634,74.95353659,75.08139024,75.2057561,75.32865854,75.45109756,..,..
